frame,x,y,z,part_idx
0,-0.5892518162727356,-0.9598678946495056,-0.18706022202968597,0
0,-0.6312562227249146,-0.9832388162612915,-0.14796434342861176,1
0,-0.6260676980018616,-0.9179275631904602,-0.16101288795471191,2
0,-0.616900622844696,-1.0137808322906494,-0.039198122918605804,3
0,-0.6026111841201782,-0.8529858589172363,-0.07072441279888153,4
0,-0.49185431003570557,-1.021436333656311,0.12664736807346344,5
0,-0.44179919362068176,-0.7909481525421143,-0.1379154622554779,6
0,-0.4183414876461029,-1.228409767150879,0.2230217158794403,7
0,-0.2594452500343323,-0.8361387252807617,-0.2922707200050354,8
0,-0.3710572421550751,-1.3704525232315063,0.06761615723371506,9
0,-0.23670274019241333,-1.007869005203247,-0.4159446954727173,10
0,0.00879642367362976,-0.9939780235290527,0.06292477250099182,11
0,0.01724287122488022,-0.877204954624176,-0.08031053096055984,12
0,-0.23062396049499512,-1.218485951423645,0.009472372010350227,13
0,-0.15109771490097046,-0.8757035136222839,-0.3670896887779236,14
0,-0.22450754046440125,-1.3922549486160278,-0.22109872102737427,15
0,-0.2128928303718567,-0.9226986169815063,-0.6477435827255249,16
1,-0.5978418588638306,-0.9623745083808899,-0.17695076763629913,0
1,-0.6382505893707275,-0.9872778654098511,-0.13690386712551117,1
1,-0.6349117755889893,-0.9216166734695435,-0.14908376336097717,2
1,-0.6200306415557861,-1.018782138824463,-0.029273279011249542,3
1,-0.6103091239929199,-0.8578453660011292,-0.058608781546354294,4
1,-0.49746808409690857,-1.028752088546753,0.12736628949642181,5
1,-0.456906259059906,-0.7914695739746094,-0.1217469796538353,6
1,-0.4090299606323242,-1.234447717666626,0.22044993937015533,7
1,-0.27988529205322266,-0.8157036304473877,-0.2894290089607239,8
1,-0.333829402923584,-1.3893710374832153,0.07871159166097641,9
1,-0.23843181133270264,-0.9833620190620422,-0.42691561579704285,10
1,0.012740983627736568,-0.9962253570556641,0.06052999943494797,11
1,0.01465471088886261,-0.8734827041625977,-0.07924113422632217,12
1,-0.21713097393512726,-1.2316043376922607,0.013116208836436272,13
1,-0.15618981420993805,-0.8777768015861511,-0.3643483519554138,14
1,-0.2211027443408966,-1.3906910419464111,-0.22356891632080078,15
1,-0.21665367484092712,-0.9294217824935913,-0.6406852602958679,16
2,-0.6063544154167175,-0.9573706984519958,-0.1365935206413269,0
2,-0.6451281309127808,-0.9830033779144287,-0.09589238464832306,1
2,-0.6426227688789368,-0.9172989726066589,-0.10744564235210419,2
2,-0.6234628558158875,-1.0159991979599,0.011010268703103065,3
2,-0.615726113319397,-0.8538076877593994,-0.016970612108707428,4
2,-0.48750898241996765,-1.026522159576416,0.16865848004817963,5
2,-0.4544510841369629,-0.7876508831977844,-0.09582540392875671,6
2,-0.4050745964050293,-1.2275651693344116,0.2570204436779022,7
2,-0.28322553634643555,-0.8172134160995483,-0.26114028692245483,8
2,-0.3625829517841339,-1.3761268854141235,0.1118917241692543,9
2,-0.20181560516357422,-0.9403524398803711,-0.41160154342651367,10
2,0.017782824113965034,-0.999222993850708,0.05955469608306885,11
2,0.0090346559882164,-0.8703523874282837,-0.08102568238973618,12
2,-0.21406474709510803,-1.2208932638168335,-0.04213261976838112,13
2,-0.16872432827949524,-0.8775122761726379,-0.36665090918540955,14
2,-0.18494854867458344,-1.302112340927124,-0.32599183917045593,15
2,-0.2224973440170288,-0.934673547744751,-0.6554594039916992,16
3,-0.6094133257865906,-0.9638074636459351,-0.1271468698978424,0
3,-0.6477077007293701,-0.9899007678031921,-0.08604082465171814,1
3,-0.6474193930625916,-0.9243070483207703,-0.09913207590579987,2
3,-0.6257983446121216,-1.0196483135223389,0.021960072219371796,3
3,-0.6235504150390625,-0.8577598929405212,-0.009774567559361458,4
3,-0.4876326024532318,-1.0299688577651978,0.1751900464296341,5
3,-0.4574483036994934,-0.7870548367500305,-0.0875285193324089,6
3,-0.3962479829788208,-1.2333595752716064,0.2457631379365921,7
3,-0.2971820831298828,-0.8298144340515137,-0.25903230905532837,8
3,-0.3563108742237091,-1.3641750812530518,0.08782673627138138,9
3,-0.23404116928577423,-0.953216016292572,-0.4146227240562439,10
3,0.020480487495660782,-1.0006061792373657,0.057307321578264236,11
3,0.007674283813685179,-0.8686636686325073,-0.08034000545740128,12
3,-0.199292853474617,-1.2256454229354858,-0.056335482746362686,13
3,-0.16888335347175598,-0.883285641670227,-0.3640146255493164,14
3,-0.18612228333950043,-1.320396065711975,-0.3317128121852875,15
3,-0.22191277146339417,-0.9456318616867065,-0.6462836265563965,16
4,-0.6017037034034729,-0.9753497838973999,-0.13630904257297516,0
4,-0.6437094211578369,-0.9976245760917664,-0.09596172720193863,1
4,-0.6410139203071594,-0.9328952431678772,-0.11405949294567108,2
4,-0.6299946308135986,-1.0187259912490845,0.015162930823862553,3
4,-0.6219086647033691,-0.8605313301086426,-0.028468851000070572,4
4,-0.49407920241355896,-1.018095850944519,0.17586928606033325,5
4,-0.4564948081970215,-0.79234778881073,-0.10232043266296387,6
4,-0.3974613845348358,-1.2275354862213135,0.25664588809013367,7
4,-0.27403387427330017,-0.8368973135948181,-0.26640892028808594,8
4,-0.33366331458091736,-1.3852617740631104,0.1062500923871994,9
4,-0.2040555328130722,-0.985053539276123,-0.4210079610347748,10
4,0.01837604120373726,-0.9973426461219788,0.05867902189493179,11
4,0.010578403249382973,-0.8727270364761353,-0.08014045655727386,12
4,-0.19319435954093933,-1.2309932708740234,-0.039784692227840424,13
4,-0.14443373680114746,-0.8968697190284729,-0.3707228899002075,14
4,-0.1678655743598938,-1.3139655590057373,-0.3144604563713074,15
4,-0.18921011686325073,-0.9531456828117371,-0.6527934670448303,16
5,-0.6071715950965881,-0.9719089269638062,-0.13104504346847534,0
5,-0.6481920480728149,-0.9957878589630127,-0.09067566692829132,1
5,-0.6459186673164368,-0.9304030537605286,-0.10626530647277832,2
5,-0.6317467093467712,-1.021228551864624,0.018997032195329666,3
5,-0.6246674060821533,-0.86153244972229,-0.018543362617492676,4
5,-0.495146244764328,-1.0207138061523438,0.18156781792640686,5
